receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,Bangladesh,123,42,CROSS_ARCH_CROSS_SEED,1.1705814744453684,1.2253243879306284,-0.05474291348525995
GRU,Bangladesh,123,123,CROSS_ARCH_SAME_SEED_ID,0.6867972992313769,1.5918588405563554,-0.9050615413249785
GRU,Bangladesh,123,2025,CROSS_ARCH_CROSS_SEED,0.799332212291965,1.1036057937655406,-0.3042735814735755
GRU,Bangladesh,2025,42,CROSS_ARCH_CROSS_SEED,0.9609307447502611,1.0653582370421002,-0.10442749229183912
GRU,Bangladesh,2025,123,CROSS_ARCH_CROSS_SEED,1.1105525351794248,0.9992077258887945,0.11134480929063029
GRU,Bangladesh,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.16811628732638834,0.22303049275309686,-0.05491420542670852
GRU,Bhutan,42,42,CROSS_ARCH_SAME_SEED_ID,0.539649567188304,0.5777867044751517,-0.038137137286847644
GRU,Bhutan,42,123,CROSS_ARCH_CROSS_SEED,0.7238986042635728,0.7642682567960233,-0.040369652532450506
GRU,Bhutan,42,2025,CROSS_ARCH_CROSS_SEED,2.2812169371032733,2.5853090494655655,-0.30409211236229217
GRU,Bhutan,123,42,CROSS_ARCH_CROSS_SEED,0.8115408464673238,1.886945791089076,-1.0754049446217522
GRU,Bhutan,123,123,CROSS_ARCH_SAME_SEED_ID,1.061056920844833,1.0316664239758648,0.02939049686896822
GRU,Bhutan,123,2025,CROSS_ARCH_CROSS_SEED,5.592875221551741,1.0195045424360156,4.573370679115725
GRU,Bhutan,2025,42,CROSS_ARCH_CROSS_SEED,1.0777970332647226,1.2593463446177622,-0.18154931135303953
GRU,Bhutan,2025,123,CROSS_ARCH_CROSS_SEED,0.5481230229309968,1.4188843239523325,-0.8707613010213358
GRU,Bhutan,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.10515726869654778,0.5828607991288606,-0.4777035304323128
GRU,Brunei Darussalam,42,42,CROSS_ARCH_SAME_SEED_ID,0.9118133402342447,1.1282335104836794,-0.21642017024943472
GRU,Brunei Darussalam,42,123,CROSS_ARCH_CROSS_SEED,2.426161725132779,3.3189194578920422,-0.8927577327592631
GRU,Brunei Darussalam,42,2025,CROSS_ARCH_CROSS_SEED,1.3565173742253616,1.4557269232502614,-0.09920954902489987
GRU,Brunei Darussalam,123,42,CROSS_ARCH_CROSS_SEED,1.2043845721502404,0.8403516185018104,0.36403295364843
GRU,Brunei Darussalam,123,123,CROSS_ARCH_SAME_SEED_ID,0.7040966957989686,3.394535383929596,-2.6904386881306275
GRU,Brunei Darussalam,123,2025,CROSS_ARCH_CROSS_SEED,0.6257889357584397,1.2658134485968575,-0.6400245128384178
GRU,Brunei Darussalam,2025,42,CROSS_ARCH_CROSS_SEED,0.8990378373011326,0.6899604433116646,0.209077393989468
