receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,sender_source,P_align_sender_to_receiver,swap_mean_abs_deviation,receiver_neutral_mean_abs_deviation,swap_to_neutral_ratio,receiver_native_equivalence_error,checkpoint_hash_verified
GRU,Austria,2025,2025,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,104.95552825927734,434.2049865722656,0.24171884594837414,0.0,TRUE
GRU,Bangladesh,42,42,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,13.906173706054688,51.91279983520508,0.2678756250905216,0.0,TRUE
GRU,Bangladesh,123,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,4-0-3-1-2,60.76816177368164,51.91279983520508,1.1705814744453684,0.0,TRUE
GRU,Bangladesh,2025,42,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-4-0-3-1,49.884605407714844,51.91279983520508,0.9609307447502611,0.0,TRUE
GRU,Bangladesh,42,42,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,12.760824203491211,51.91279983520508,0.24581267517837396,0.0,TRUE
GRU,Bangladesh,123,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-0-4-1-3,63.61001968383789,51.91279983520508,1.2253243879306284,0.0,TRUE
GRU,Bangladesh,2025,42,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,2-4-0-3-1,55.305728912353516,51.91279983520508,1.0653582370421002,0.0,TRUE
GRU,Bangladesh,42,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,1-0-3-4-2,52.23555374145508,35.129295349121094,1.4869513670094714,0.0,TRUE
GRU,Bangladesh,123,123,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,24.126705169677734,35.129295349121094,0.6867972992313769,0.0,TRUE
GRU,Bangladesh,2025,123,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,4-1-0-2-3,39.0129280090332,35.129295349121094,1.1105525351794248,0.0,TRUE
GRU,Bangladesh,42,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,1-4-3-0-2,40.5606689453125,35.129295349121094,1.1546109462832506,0.0,TRUE
GRU,Bangladesh,123,123,CROSS_ARCH_SAME_SEED_ID,THETA_RKA_1e-3,0-1-2-3-4,55.92087936401367,35.129295349121094,1.5918588405563554,0.0,TRUE
GRU,Bangladesh,2025,123,CROSS_ARCH_CROSS_SEED,THETA_RKA_1e-3,4-1-0-2-3,35.101463317871094,35.129295349121094,0.9992077258887945,0.0,TRUE
GRU,Bangladesh,42,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-4-0-3-1,61.720149993896484,48.737396240234375,1.26638176749673,0.0,TRUE
GRU,Bangladesh,123,2025,CROSS_ARCH_CROSS_SEED,FUNCTIONAL,2-3-1-4-0,38.95737075805664,48.737396240234375,0.799332212291965,0.0,TRUE
GRU,Bangladesh,2025,2025,CROSS_ARCH_SAME_SEED_ID,FUNCTIONAL,0-1-2-3-4,8.193550109863281,48.737396240234375,0.16811628732638834,0.0,TRUE
