series_id,series_dir,window,gate_CKA,hidden_delta_CKA,forecast_delta_cosine,native_disagreement,swap_to_neutral_ratio,TP2D_phenotype,latent_effect_strength,interface_stable,downstream_latent_effect_stable,swap_interchangeable,predictive_similarity
Kaohsiung City,kaohsiung_city,5,0.4601024014591904,0.6393822442026976,-0.7573378062079141,0.025504997821075844,1.238896927592731,DOWNSTREAM-COMPENSATED / CO-ADAPTED,0.016768879550101538,False,False,False,True
New Taipei City,new_taipei_city,5,0.12546967272412501,0.8575354144701742,0.8387660379489061,0.35041761132921484,1.5917845969205908,MIXED / INDETERMINATE,0.10372390774466488,False,True,False,False
Pingtung County,pingtung_county,5,0.07969999069864978,0.25298875172900864,-0.47374348883919837,0.08321572415729146,1.7309538658632981,FUNCTIONALLY NEGLIGIBLE,0.005320363235442547,False,False,False,True
Taichung City,taichung_city,5,0.6816055336148501,0.4147848692872418,0.05704902624579255,0.3048993783899244,1.3808817886444062,FUNCTIONALLY UNSTABLE,0.23213788012724723,False,False,False,False
Tainan City,tainan_city,5,0.25077589096691766,0.5550299180649121,0.05768484940671788,0.08383315750968189,1.087395381528558,FUNCTIONALLY NEGLIGIBLE,0.004204618694597452,False,False,False,True
Taipei City,taipei_city,5,0.2575005222456887,0.518327892550312,0.07897579357604016,0.44024058950774403,1.0956715451149044,FUNCTIONALLY UNSTABLE,0.05841267215427455,False,False,False,False
Yunlin County,yunlin_county,5,0.4038475472396964,0.7832907362980048,-0.35746017968779265,0.03804824287915236,0.8777645786708566,DOWNSTREAM-COMPENSATED / CO-ADAPTED,0.035439524183370104,False,False,False,True
